seed,initial_objective_value,best_objective_value,delta_abs_vs_baseline,delta_pct_vs_baseline,iterations,evaluations,runtime_seconds,accepted_iterations,improvement_iterations,stopping_reason,final_perturbation_strength,seed_dir,profile_total_runtime_s,profile_initial_eval_s,profile_initial_local_search_s,profile_iteration_perturbation_s,profile_iteration_candidate_eval_s,profile_iteration_local_search_s,profile_iteration_acceptance_update_s,profile_iteration_bookkeeping_s,profile_iteration_logging_s,profile_evaluation_build_final_matrix_s,profile_evaluation_objective_only_s,profile_evaluation_total_s,profile_evaluation_calls,profile_evaluation_avg_s,profile_local_search_calls
182,55.0974,65.15299999999999,11.149499999999989,20.645884063069964,184,30081,93.77940744301304,32,32,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_154048_budget100_seeds100/seed_runs/seed_000182,93.77940744301304,0.003016798058524728,0.16867622011341155,0.04273919481784105,0.5427267937920988,93.01393643463962,0.0006309438031166792,0.0017696642316877842,0.0023151978384703398,74.45745402690955,15.38728866330348,89.84474269021302,30081,0.0029867605029823816,185
57,55.8862,65.2483,11.244799999999998,20.822354106678265,187,30092,93.65266087208875,30,30,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_154048_budget100_seeds100/seed_runs/seed_000057,93.65266087208875,0.002930002985522151,0.12751395790837705,0.04325530119240284,0.5506989506538957,92.92035079188645,0.0005895090289413929,0.0016927479300647974,0.002133745001628995,74.37588549824432,15.343780554598197,89.71966605284251,30092,0.0029815122309199294,188
7217,55.440999999999995,64.9078,10.904299999999992,20.191839417815494,192,30053,93.56656931806356,24,24,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_154048_budget100_seeds100/seed_runs/seed_007217,93.56656931806356,0.0029381548520177603,0.1584397261030972,0.04425975168123841,0.5658962938468903,92.78744257101789,0.0005417459178715944,0.001664628041908145,0.001829248620197177,74.32235524430871,15.332605072762817,89.65496031707153,30053,0.0029832283072262844,193
395,56.488,65.185,11.1815,20.70513948170026,165,30200,94.03901026304811,32,32,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_154048_budget100_seeds100/seed_runs/seed_000395,94.03901026304811,0.002940951846539974,0.15946305519901216,0.038201974239200354,0.4861198244616389,93.34491206938401,0.0005594959948211908,0.0015078254509717226,0.00212178286164999,74.74843559251167,15.363402549410239,90.11183814192191,30200,0.0029838357000636392,166
2949,54.9666,65.2153,11.211799999999997,20.761246956215793,175,30049,93.53766712290235,29,29,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_154048_budget100_seeds100/seed_runs/seed_002949,93.53766712290235,0.003051463048905134,0.18047864991240203,0.04037262289784849,0.5150940446183085,92.79127384210005,0.0005464011337608099,0.001554102636873722,0.00194362155161798,74.29793678666465,15.317277908092365,89.61521469475701,30049,0.0029823027287016876,176
2177,54.5864,65.2704,11.266899999999993,20.863277380169787,163,30221,94.06116891885176,28,28,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_154048_budget100_seeds100/seed_runs/seed_002177,94.06116891885176,0.0029310721438378096,0.11481342790648341,0.03747054422274232,0.48020995454862714,93.41862521576695,0.0005468751769512892,0.0014773586299270391,0.0019822511821985245,74.75761249591596,15.372182969469577,90.12979546538554,30221,0.0029823564893744596,164
4854,54.95660000000001,65.0141,11.010599999999997,20.388678511577947,182,30132,93.94975306186825,31,31,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_154048_budget100_seeds100/seed_runs/seed_004854,93.94975306186825,0.0029241321608424187,0.17192788608372211,0.04209390212781727,0.5368128092959523,93.18705369881354,0.0007163567934185266,0.0017935028299689293,0.002694804919883609,74.53361097630113,15.475315112387761,90.0089260886889,30132,0.0029871540584325267,183
1356,56.3603,65.3396,11.336100000000002,20.99141722295777,167,30148,93.87658653780818,29,29,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_154048_budget100_seeds100/seed_runs/seed_001356,93.87658653780818,0.0029185779858380556,0.21204546396620572,0.039003350771963596,0.4928919798694551,93.12094549741596,0.0007554178591817617,0.0017960101831704378,0.0027069125790148973,74.55943975527771,15.3874209492933,89.94686070457101,30148,0.002983510040618648,168
3557,55.4277,65.4858,11.482299999999995,21.262140416824828,171,30048,93.64492021687329,31,31,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_154048_budget100_seeds100/seed_runs/seed_003557,93.64492021687329,0.0030055169481784105,0.14969236496835947,0.03960738214664161,0.5038800386246294,92.94092930248007,0.0006123082712292671,0.0015813526697456837,0.0022996647749096155,74.33728110557422,15.380301556084305,89.71758266165853,30048,0.00298580879465051,172
3801,54.9999,65.03439999999999,11.030899999999988,20.42626866777151,165,30036,93.63228577794507,33,33,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_154048_budget100_seeds100/seed_runs/seed_003801,93.63228577794507,0.0029391779098659754,0.1524204690940678,0.038063663989305496,0.4870562192518264,92.94441467453726,0.0005616592243313789,0.0015173505526036024,0.0021587307564914227,74.31299307430163,15.394731420557946,89.70772449485958,30036,0.0029866734749919954,166
9674,55.1278,65.0358,11.032299999999992,20.42886109233659,192,30269,94.27706267009489,26,26,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_154048_budget100_seeds100/seed_runs/seed_009674,94.27706267009489,0.0029299419838935137,0.18678514007478952,0.044201646000146866,0.5662013760302216,93.46902288077399,0.0005752358119934797,0.0016943910159170628,0.0021102793980389833,74.88822737545706,15.442293092608452,90.33052046806552,30269,0.002984258497739123,193
516,54.48330000000001,65.6374,11.633899999999997,21.54286296258575,175,30017,93.51555777387694,35,35,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_154048_budget100_seeds100/seed_runs/seed_000516,93.51555777387694,0.002931445837020874,0.155404336983338,0.040396464290097356,0.5158693792764097,92.79337734053843,0.0005666036158800125,0.001586361089721322,0.0021509279031306505,74.27030063956045,15.3297250054311,89.60002564499155,30017,0.0029849760350798395,176
4089,55.4392,64.6026,10.599099999999993,19.62669086262926,170,30124,93.79958804999478,29,29,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_154048_budget100_seeds100/seed_runs/seed_004089,93.79958804999478,0.002937900135293603,0.133598007960245,0.03900833707302809,0.500877687940374,93.11567337298766,0.0005721575580537319,0.0015222292859107256,0.0021209735423326492,74.53258305671625,15.349347790004686,89.88193084672093,30124,0.0029837316042597576,171
4937,54.8874,65.1321,11.128599999999992,20.607182867777073,169,30023,93.49449981679209,31,31,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_154048_budget100_seeds100/seed_runs/seed_004937,93.49449981679209,0.0029616858810186386,0.1592791210860014,0.039271473651751876,0.4982980862259865,92.78738384926692,0.0005570896901190281,0.0014927976299077272,0.002036788035184145,74.24374425318092,15.320013287011534,89.56375754019246,30023,0.002983171486533406,170
9998,55.7277,64.8559,10.852400000000003,20.09573453572454,182,30067,93.62758427299559,28,28,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_154048_budget100_seeds100/seed_runs/seed_009998,93.62758427299559,0.0029293650295585394,0.1932581551373005,0.04188778204843402,0.5366622828878462,92.84503687778488,0.0005772726144641638,0.0016517254989594221,0.002085223328322172,74.3437388385646,15.359529088716954,89.70326792728156,30067,0.0029834459017288573,183
3129,55.494600000000005,65.3525,11.349000000000004,21.015304563593105,162,25696,79.9607565139886,27,27,max_no_improve,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_154048_budget100_seeds100/seed_runs/seed_003129,79.9607565139886,0.0029489179141819477,0.15624716295860708,0.03724760469049215,0.47708637453615665,79.28033314459026,0.0005172442179173231,0.0014316251035779715,0.0019329770002514124,63.52859997958876,13.08557213912718,76.61417211871594,25696,0.002981560247459369,163
2887,55.4345,65.2398,11.2363,20.806614386104606,165,30156,93.90188681101426,34,34,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_154048_budget100_seeds100/seed_runs/seed_002887,93.90188681101426,0.002923741936683655,0.16160023189149797,0.03823410836048424,0.4860846563242376,93.20431290380657,0.0007388468366116285,0.001676227431744337,0.0027495461981743574,74.53932970482856,15.427161060739309,89.96649076556787,30156,0.0029833695040976213,166
